Liste over Bildetema-termer som skal oversettes til kvensk									
Tilrettelagt av Øystein Reigem, Uni Research Computing, 2017-01-11									
									
id	lenke til Bildetema HTML5	lenke til Bildetema Flash	svensk	bokmål	engelsk	kvensk	oversetterens kommentarer		
&w959	Bildetema HTML5	Bildetema Flash	en operation	operasjon	operation	operašuuni			
									
&s4_3	Bildetema HTML5	Bildetema Flash	vård	behandling	care	hoito			
									
&w1145	Bildetema HTML5	Bildetema Flash	en sjuksköterska	hjelpepleier	nurse	apuhoittaaja, apuhoitaja			
&w1148	Bildetema HTML5	Bildetema Flash	en sjukvårdare	sykepleier	nurse	sairhaanhoittaaja, sairhaanhoitaja			
&w1651	Bildetema HTML5	Bildetema Flash	en patient	pasient	patient	pasientti			
&w1652	Bildetema HTML5	Bildetema Flash	en rondskål	pussbekken	kidney-dish	sylkiastii, sylkiastia			
&w182	Bildetema HTML5	Bildetema Flash	ett bäcken	bekken	bedpan	potto			
&w247	Bildetema HTML5	Bildetema Flash	ett dropp	drypp	drip	tippa			
&w793	Bildetema HTML5	Bildetema Flash	en läkare	lege	doctor	tohtori			
&w885	Bildetema HTML5	Bildetema Flash	ett munskydd	munnbind	mask	suumaski			
									
&s4_4	Bildetema HTML5	Bildetema Flash	läkemedel	medisin	medicine	metesiini			
									
&w1060	Bildetema HTML5	Bildetema Flash	ett recept	resept	prescription	resepti			
&w1116	Bildetema HTML5	Bildetema Flash	en salva	salve	salve, ointment	salva			
&w1266	Bildetema HTML5	Bildetema Flash	en spruta	sprøyte	syringe	spröittä			
&w1375-a	Bildetema HTML5	Bildetema Flash	tabletter	tabletter	tablets	tabletit			
&w1516	Bildetema HTML5	Bildetema Flash	utvärtes	utvortes	external	ulkopuolisesti			
&w20	Bildetema HTML5	Bildetema Flash	ett apotek	apotek	pharmacy	apoteekki			
&w248	Bildetema HTML5	Bildetema Flash	en droppe	dråpe	drop	tippa			
&w553	Bildetema HTML5	Bildetema Flash	injektion	injeksjon	injection	injekšuuni			
&w557	Bildetema HTML5	Bildetema Flash	invärtes	innvortes	internal	sisäpuolisesti			
&w842	Bildetema HTML5	Bildetema Flash	en medicin	medisin	medicine	metesiini			
&w998	Bildetema HTML5	Bildetema Flash	ett piller	pille	pill	pilleri			
									
&s4_5	Bildetema HTML5	Bildetema Flash	hjälpmedel	hjelpemiddel	aids	apuneuvot			
									
&w1011	Bildetema HTML5	Bildetema Flash	ett plåster	plaster	sticking plaster	laastari			
&w1085	Bildetema HTML5	Bildetema Flash	en rullstol	rullestol	wheelchair	rullatooli			
&w1405-a	Bildetema HTML5	Bildetema Flash	en termometer	termometer	thermometer	termomeetteri			
&w388	Bildetema HTML5	Bildetema Flash	en gasbinda	gasbind	gauze bandage	gasbinti	?		
&w399	Bildetema HTML5	Bildetema Flash	glasögon	brille	glasses, spectacles	prillat			
&w545	Bildetema HTML5	Bildetema Flash	en hörapparat	høreapparat	hearing aid	kuuloapparaatti			
&w62	Bildetema HTML5	Bildetema Flash	ett bandage	bandasje	bandage	pantaaši	?		
&w654	Bildetema HTML5	Bildetema Flash	en kompress	kompress	compress	kompressi			
&w689	Bildetema HTML5	Bildetema Flash	en krycka	krykke	crutch	apuketara			
&w722	Bildetema HTML5	Bildetema Flash	en käpp	stav	stick	sauva			
&w999	Bildetema HTML5	Bildetema Flash	en pincett	pinsett	tweezer(s)	pinsetti			
									
&c5	Bildetema HTML5	Bildetema Flash	Livsmedel	Matvarer	Provisions and food	Ruokatavarat			
									
&s5_1	Bildetema HTML5	Bildetema Flash	grönsaker	grønnsaker	vegetables	vihriset			
									
&w1025-a	Bildetema HTML5	Bildetema Flash	en potatis	potet	potato	puteetti, putaatti, pottu			
&w1041	Bildetema HTML5	Bildetema Flash	en purjolök	purre	leek	pyrrelööki			
&w1097	Bildetema HTML5	Bildetema Flash	en rädisa	reddik	radish	reddikki			
&w1105	Bildetema HTML5	Bildetema Flash	en rödbeta	rødbete	beetroot	punajuuri			
&w1114	Bildetema HTML5	Bildetema Flash	sallad(en)	salat	lettuce	salaatti			
&w1128	Bildetema HTML5	Bildetema Flash	selleri(n)	selleri	celery	sellerii			
&w1254	Bildetema HTML5	Bildetema Flash	en sparris	asparges	asparagus	asparges			
&w1257	Bildetema HTML5	Bildetema Flash	spenat(en)	spinat	spinach	spinaatti			
&w1426	Bildetema HTML5	Bildetema Flash	en tomat	tomat	tomato	tomaatti			
&w1565-a	Bildetema HTML5	Bildetema Flash	vitkål(en)	hodekål	cabbage	kooli			
&w1567	Bildetema HTML5	Bildetema Flash	en vitlök	hvitløk	garlic	valkkeelööki, valkealööki, valkialööki			
&w224	Bildetema HTML5	Bildetema Flash	dill(en)	dill	dill	dilli			
&w435	Bildetema HTML5	Bildetema Flash	en gurka	agurk	cucumber	agurkki			
&w805	Bildetema HTML5	Bildetema Flash	en lök	løk	onion	lööki			
&w873	Bildetema HTML5	Bildetema Flash	en morot	gulrot	carrot	kylrötteri			
&w979	Bildetema HTML5	Bildetema Flash	en paprika	paprika	(sweet) pepper	paprika			
&w993	Bildetema HTML5	Bildetema Flash	persilja(n)	persille	parsley	persilli			
									
&s5_2	Bildetema HTML5	Bildetema Flash	frukt och dryck	frukt og drikke	fruit and drink	fruktit ja juomat			
									
&w1049	Bildetema HTML5	Bildetema Flash	ett päron	pære	pear	päärä			
&w1113	Bildetema HTML5	Bildetema Flash	saft(en)	saft	juice	safti, mehu			
&w1349	Bildetema HTML5	Bildetema Flash	sylt(en)	syltetøy	jam	marmelaati			
&w1393-a	Bildetema HTML5	Bildetema Flash	te(et)	te	tea	tee			
&w1619	Bildetema HTML5	Bildetema Flash	ett äpple	eple	apple	äpyli			
&w1627	Bildetema HTML5	Bildetema Flash	öl(en)	øl	beer	olu, ööli			
&w1653	Bildetema HTML5	Bildetema Flash	en sallad	salat	lettuce	salaatti			
&w19	Bildetema HTML5	Bildetema Flash	en apelsin	appelsin	orange	appelsiini			
&w197-b	Bildetema HTML5	Bildetema Flash	choklad(en)	kakao	cocoa	kaakao			
&w199	Bildetema HTML5	Bildetema Flash	en citron	sitron	lemon	sitruuna			
&w408	Bildetema HTML5	Bildetema Flash	en grapefrukt	grapefrukt	grapefruit	greippi	?		
&w567	Bildetema HTML5	Bildetema Flash	en jordgubbe	jordbær	strawberry	mansikka			
&w574-a	Bildetema HTML5	Bildetema Flash	kaffe(t)	kaffe	coffee	kaffi			
&w60	Bildetema HTML5	Bildetema Flash	en banan	banan	banana	banaani			
&w803	Bildetema HTML5	Bildetema Flash	en läsk	brus	soft drink, soda	pryysi			
&w829	Bildetema HTML5	Bildetema Flash	en marmelad	marmelade	marmalade	marmelaati 			
									
&s5_3	Bildetema HTML5	Bildetema Flash	kött och fisk	kjøtt og fisk	meat and fish	liha ja kala			
									
&w1099-a	Bildetema HTML5	Bildetema Flash	en räka	reke	shrimp	rääkki			
&w1141-a	Bildetema HTML5	Bildetema Flash	sill(en)	sild	herring	silli			
&w1167	Bildetema HTML5	Bildetema Flash	en skinka	skinke	ham	kinkku			
&w1654	Bildetema HTML5	Bildetema Flash	ett ostron	østers	oyster	österi	östersi?		
&w282	Bildetema HTML5	Bildetema Flash	en falukorv	falukorv	Falun sausage	faalumakkara			
&w310	Bildetema HTML5	Bildetema Flash	en fisk	fisk	fish	kala			
&w335	Bildetema HTML5	Bildetema Flash	fläsk(et)	bacon	pork	fläski			
&w505-a	Bildetema HTML5	Bildetema Flash	en hummer	hummer	lobster	hummeri			
&w893-a	Bildetema HTML5	Bildetema Flash	en mussla	musling	clam	kuiski			
&w89-a	Bildetema HTML5	Bildetema Flash	en biff	biff	beef	piffi			
									
&s5_4	Bildetema HTML5	Bildetema Flash	bröd och glass	brød og iskrem	bread and ice cream	leipä ja jääkreemi			
									
&w1655	Bildetema HTML5	Bildetema Flash	en glass(pinne)	is(pinne)	ice lolly	jääkreemi (tikku)	?		
&w1656	Bildetema HTML5	Bildetema Flash	en glass(strut)	kuleis	ice-cream cone	jääkreemi (pallo)	?		
&w1657	Bildetema HTML5	Bildetema Flash	(ett) glass(paket)	is(boks)	ice-cream	jääkreemi (purkki)			
&w1658	Bildetema HTML5	Bildetema Flash	ett kex	kjeks	biscuit	keksu			
&w165-a	Bildetema HTML5	Bildetema Flash	en bulle	bolle	bun	pulla			
&w197-a	Bildetema HTML5	Bildetema Flash	choklad(en)	sjokolade	chocolate	šukulaati, sokkerilaatta			
&w644	Bildetema HTML5	Bildetema Flash	knäckebröd(et)	knekkebrød	crispbread	näkkileipä			
&w754	Bildetema HTML5	Bildetema Flash	en limpa	brød	loaf	leipä			
&w788	Bildetema HTML5	Bildetema Flash	en långfranska	pariserloff	French loaf	pariisilaisleipä	tahi franskanleipä ?		
									
&s5_5	Bildetema HTML5	Bildetema Flash	mejeri	meieriprodukter	dairy products	meijeriproduktit			
									
&w1129	Bildetema HTML5	Bildetema Flash	senap(en)	sennep	mustard	senneppi			
&w1222	Bildetema HTML5	Bildetema Flash	smör(et)	smør	butter	voi			
&w1554	Bildetema HTML5	Bildetema Flash	vinäger(n)	(vin)eddik	vinegar	viinieddikki			
&w1614-a	Bildetema HTML5	Bildetema Flash	ett ägg	egg	egg	muna			
&w1659	Bildetema HTML5	Bildetema Flash	filmjölk(en)	kulturmelk	sour(ed) milk	piimä			
&w424	Bildetema HTML5	Bildetema Flash	grädde(n)	fløte	cream	päälismaito			
&w573	Bildetema HTML5	Bildetema Flash	jäst(en)	gjær	yeast	hiiva			
&w614	Bildetema HTML5	Bildetema Flash	ketchup(en)	ketsjup	ketchup	ketchuppi	ketšuppi?		
&w827	Bildetema HTML5	Bildetema Flash	margarin(et)	margarin	margarine	margariini			
&w862	Bildetema HTML5	Bildetema Flash	mjölk(en)	melk	milk	maito			
&w950	Bildetema HTML5	Bildetema Flash	olja(n)	olje	oil	öljy			
&w965	Bildetema HTML5	Bildetema Flash	ost(en)	ost	cheese	juusto			
									
&s5_6	Bildetema HTML5	Bildetema Flash	livsmedel	tørrvarer	provisions	kuivatavarat			
									
&w1077	Bildetema HTML5	Bildetema Flash	ris(et)	ris	rice	riisi			
&w1115	Bildetema HTML5	Bildetema Flash	salt(et)	salt	salt	suola			
&w1250	Bildetema HTML5	Bildetema Flash	spagetti(n)	spagetti	spaghetti	spagetti			
&w1307	Bildetema HTML5	Bildetema Flash	strösocker	strøsukker	sugar	fariini			
&w322	Bildetema HTML5	Bildetema Flash	flingor	cornflakes	corn flakes	cornflakes			
&w485	Bildetema HTML5	Bildetema Flash	havregryn	havregryn	porridge oats	kaurakryyni			
&w690	Bildetema HTML5	Bildetema Flash	krydda	krydder	spice	höystet, höyste, höystö			
&w817	Bildetema HTML5	Bildetema Flash	makaroner	makaroni	macaroni	makarooni			
&w861	Bildetema HTML5	Bildetema Flash	mjöl(et)	mel	flour	jauho			
&w96	Bildetema HTML5	Bildetema Flash	bitsocker	sukkerbiter	sugar lumps	sokkeripalat			
&w989	Bildetema HTML5	Bildetema Flash	peppar(n)	pepper	pepper	pippuri			
									
&c6	Bildetema HTML5	Bildetema Flash	Husgeråd och förpackningar	Kjøkkenutstyr	Household utensils and packaging	Köökitavarat			
									
&s6_1	Bildetema HTML5	Bildetema Flash	husgeråd 1	kjøkkenutstyr 1	utensils 1	köökitavarat 1			
									
&w1202	Bildetema HTML5	Bildetema Flash	en skärbräda	skjærebrett	cutting board	leikkoprättä			
&w1406	Bildetema HTML5	Bildetema Flash	en termos	termos	thermos	termos			
&w142-a	Bildetema HTML5	Bildetema Flash	en bricka	(serverings)brett	tray	serveerausprättä			
&w1574	Bildetema HTML5	Bildetema Flash	en våg	vekt	scales	puntari			
&w159	Bildetema HTML5	Bildetema Flash	en brödrost	brødrister	toaster	leipäristeri			
&w167	Bildetema HTML5	Bildetema Flash	en bunke	bolle	bowl	pollo			
&w376	Bildetema HTML5	Bildetema Flash	en förskärare	forskjærskniv	carver	lihaveitti			
&w512	Bildetema HTML5	Bildetema Flash	en hushållsmaskin	kjøkkenmaskin	domestic appliance	köökimašiini			
&w513	Bildetema HTML5	Bildetema Flash	hushållspapper(et)	kjøkkenpapir	kitchen roll, kitchen paper	köökipaperi			
&w641-a	Bildetema HTML5	Bildetema Flash	en kniv	kniv	knife	veitti			
&w882	Bildetema HTML5	Bildetema Flash	en mugg	krus	mug	kruusikuppi			
									
&s6_2	Bildetema HTML5	Bildetema Flash	husgeråd 2	kjøkkenutstyr 2	utensils 2	köökitavarat 2			
									
&w1140	Bildetema HTML5	Bildetema Flash	en sil	sil	strainer, colander	siivilä			
&w1177	Bildetema HTML5	Bildetema Flash	en skopa	øse	scoop	kauha			
&w1198	Bildetema HTML5	Bildetema Flash	en skål	skål	bowl	malja			
&w1415	Bildetema HTML5	Bildetema Flash	en tillbringare	mugge	jug	muki			
&w1444	Bildetema HTML5	Bildetema Flash	en tratt	trakt	funnel	tratti			
&w1563	Bildetema HTML5	Bildetema Flash	en visp	visp	whisk, beater	vispilä			
&w611	Bildetema HTML5	Bildetema Flash	en kavel	kjevle	rolling pin	käveli			
&w657	Bildetema HTML5	Bildetema Flash	en konservöppnare	boksåpner	tin-opener	purkinaukaisiija, purkinaukasija			
&w666	Bildetema HTML5	Bildetema Flash	en korkskruv	korketrekker	corkscrew	korkinaukaisiija, korkinaukasija			
&w875	Bildetema HTML5	Bildetema Flash	en mortel	morter	mortar	mortteri			
									
&s6_3	Bildetema HTML5	Bildetema Flash	förpackning	emballasje	packaging	pakat			
									
&w1045	Bildetema HTML5	Bildetema Flash	en påse	pose	bag	puusi			
&w1461	Bildetema HTML5	Bildetema Flash	en tub	tube	tube	tuubi			
&w1660	Bildetema HTML5	Bildetema Flash	en plastkasse	plastpose	plastic bag	plastikkipuusi			
&w168	Bildetema HTML5	Bildetema Flash	en burk	konserve	preserved foods	purkki			
&w255-a	Bildetema HTML5	Bildetema Flash	en dunk	kanne	can	kannu			
&w320	Bildetema HTML5	Bildetema Flash	en flaska	flaske	bottle	puteli			
&w45	Bildetema HTML5	Bildetema Flash	en back	kasse	crate	kassa			
&w594	Bildetema HTML5	Bildetema Flash	en kapsyl	kapsel	[bottle] cap	kapseli			
&w603	Bildetema HTML5	Bildetema Flash	en kasse	bærepose	bag	kauppapuusi			
&w656	Bildetema HTML5	Bildetema Flash	en konserv	hermetikk(boks)	food can	hermetikki(purkki)			
&w665	Bildetema HTML5	Bildetema Flash	en kork	kork	cork	korkki			
									
&s6_4	Bildetema HTML5	Bildetema Flash	en servis	servise	service	serviisi			
									
&w1661-a	Bildetema HTML5	Bildetema Flash	middagstallrik	middagstallerken	dinner plate	fati			
&w1662-a	Bildetema HTML5	Bildetema Flash	tallrik	tallerken	plate	fati			
&w295	Bildetema HTML5	Bildetema Flash	ett fat	serveringsfat	serving dish	serveerausfati			
&w34	Bildetema HTML5	Bildetema Flash	en assiett	asjett	side plate	asetti			
&w597	Bildetema HTML5	Bildetema Flash	en karott	dypt serveringsfat	deep serving dish	syvä serveerausfati			
									
&c7	Bildetema HTML5	Bildetema Flash	Matlagning och måltider	Matlaging og måltider	Cooking and meals	Kokkaaminen ja syömiset			
									
&s7_1	Bildetema HTML5	Bildetema Flash	måltider	måltider	meals	syömiset			
									
&w1131	Bildetema HTML5	Bildetema Flash	en servett	serviett	napkin	servietti			
&w1161	Bildetema HTML5	Bildetema Flash	en sked	skje	spoon	lusikka			
&w1223	Bildetema HTML5	Bildetema Flash	en smörgås	brødskive	open sandwich	leipäkiivu			
&w1331	Bildetema HTML5	Bildetema Flash	en supé	kveldsmat	supper	iltaruoka			
&w1375-b	Bildetema HTML5	Bildetema Flash	en tablett	kuvertbrikke	table mat	astiinalus, astianalus			
&w1379	Bildetema HTML5	Bildetema Flash	en tallrik	tallerken	plate	fati, talerkki			
&w1544	Bildetema HTML5	Bildetema Flash	vin(et)	vin	wine	viini			
&w252-a	Bildetema HTML5	Bildetema Flash	en duk	duk	table cloth	tuuki			
&w353	Bildetema HTML5	Bildetema Flash	en frukost	frokost	breakfast	aamuruoka			
&w380-a	Bildetema HTML5	Bildetema Flash	en gaffel	gaffel	fork	kaffeli			
&w397	Bildetema HTML5	Bildetema Flash	ett glas	glass	glass	klasi			
&w454	Bildetema HTML5	Bildetema Flash	en haklapp	smekke	bib	leukalappu	?		
&w574-b	Bildetema HTML5	Bildetema Flash	kaffe(t)	kaffe	coffee	kaffi			
&w641-b	Bildetema HTML5	Bildetema Flash	en kniv	kniv	knife	veitti			
&w775	Bildetema HTML5	Bildetema Flash	en lunch	formiddagsmat	lunch	aamupäiväruoka			
&w844	Bildetema HTML5	Bildetema Flash	ett mellanmål	mellommåltid	snack	väliruoka			
&w85	Bildetema HTML5	Bildetema Flash	ett bestick	bestikk	cutlery	bestikki			
&w850	Bildetema HTML5	Bildetema Flash	en middag	middag	dinner	keskipäivä			
									
&s7_2	Bildetema HTML5	Bildetema Flash	matlagning	matlaging	cooking	kokkaaminen			
									
&w1243	Bildetema HTML5	Bildetema Flash	en soppa	suppe	soup	velli			
&w1258-a	Bildetema HTML5	Bildetema Flash	ett spett	(grill)spyd	skewer	(grilli)varras			
&w1283	Bildetema HTML5	Bildetema Flash	steka	steke	fry	paistaat, paistaa			
&w1393-b	Bildetema HTML5	Bildetema Flash	te(et)	te	tea	tee			
&w1405-b	Bildetema HTML5	Bildetema Flash	en termometer	termometer	thermometer	termomeetteri			
&w1490	Bildetema HTML5	Bildetema Flash	en tårta	bløtkake	cake	täytetty kakko			
&w1503	Bildetema HTML5	Bildetema Flash	ett underlägg	underlag	mat	kattilamatto			
&w165-b	Bildetema HTML5	Bildetema Flash	en bulle	bolle	bun	polli			
&w219	Bildetema HTML5	Bildetema Flash	en deg	deig	dough	taikina			
&w412	Bildetema HTML5	Bildetema Flash	en grill	grill	grill	grilli			
&w413	Bildetema HTML5	Bildetema Flash	grilla	grille	grill	grillata			
&w420-a	Bildetema HTML5	Bildetema Flash	en gryta	gryte	(cooking) pot, pan	pata			
&w420-b	Bildetema HTML5	Bildetema Flash	en gryta	gryte	(cooking) pot, pan	pata			
&w56	Bildetema HTML5	Bildetema Flash	baka	bake	bake	leippoot, leipoat, leipoa			
&w577	Bildetema HTML5	Bildetema Flash	en kaka	kake	cake	kakko			
&w607-a	Bildetema HTML5	Bildetema Flash	en kastrull	kasserolle	saucepan	kasterooli			
&w651	Bildetema HTML5	Bildetema Flash	koka	koke	boil	keittäät, keittää			
&w670	Bildetema HTML5	Bildetema Flash	en korv	pølse	sausage	makkara, pylsy			
&w714-a	Bildetema HTML5	Bildetema Flash	en kyckling	kylling	chicken	kananpoika			
&w732	Bildetema HTML5	Bildetema Flash	köttbullar	kjøttboller	meatballs	lihapollerit			
&w767-a	Bildetema HTML5	Bildetema Flash	ett lock	lokk	lid	kansi, lokki			
&w89-b	Bildetema HTML5	Bildetema Flash	en biff	biff	beef	piffi			
									
&s7_3	Bildetema HTML5	Bildetema Flash	spis	komfyr	stove	komfyyri			
									
&w1262	Bildetema HTML5	Bildetema Flash	en spis	komfyr	stove	komfyyri			
&w1284	Bildetema HTML5	Bildetema Flash	en stekpanna	stekepanne	frying pan	paistopannu			
&w1499	Bildetema HTML5	Bildetema Flash	en ugn	stekeovn	oven	paistouuni			
&w1663	Bildetema HTML5	Bildetema Flash	en mikrovågsugn	mikrobølgeovn	microwave	mikropaarouuni, mikroaaltouuni			
&w1664	Bildetema HTML5	Bildetema Flash	en kokplatta	kokeplate	hot plate, hob	keittoplaatta			
&w421	Bildetema HTML5	Bildetema Flash	en grytlapp	gryteklut	pot holder	patatukko			
&w57	Bildetema HTML5	Bildetema Flash	en bakplåt	stekeplate	baking tray	paistoplaatta			
&w607-b	Bildetema HTML5	Bildetema Flash	en kastrull	kasserolle	saucepan	kasterolli			
&w767-b	Bildetema HTML5	Bildetema Flash	ett lock	lokk	lid	kansi, lokki			
&w973-b	Bildetema HTML5	Bildetema Flash	kaffepanna	kaffekjele	coffee kettle, coffee pot	kaffikattila			
									
&c8	Bildetema HTML5	Bildetema Flash	Kläder och smycken	Klær og smykker	Clothes and jewellery	Vaattheet ja koristukset			
									
&s8_1	Bildetema HTML5	Bildetema Flash	dam	dame	woman	vaimo			
									
&w1015	Bildetema HTML5	Bildetema Flash	en polotröja	pologenser	polo-neck sweater	poolokensseri			
&w1047-a	Bildetema HTML5	Bildetema Flash	en päls	pels	fur coat	turkki			
&w113	Bildetema HTML5	Bildetema Flash	en blus	bluse	blouse	plyssi			
&w1142	Bildetema HTML5	Bildetema Flash	en sjal	sjal	shawl	šjaali			
&w1143	Bildetema HTML5	Bildetema Flash	en sjalett	skaut	headscarf	huivi			
&w1298	Bildetema HTML5	Bildetema Flash	en strumpbyxa	strømpebukse	pantyhose	sukkahousut			
&w1447	Bildetema HTML5	Bildetema Flash	en trosa	truse	panties	alushousut, tryysi			
&w1458	Bildetema HTML5	Bildetema Flash	en tröja	genser	sweater	kensseri			
&w1501	Bildetema HTML5	Bildetema Flash	en underkjol	underskjørt	petticoat	alushamet, alushame			
&w250	Bildetema HTML5	Bildetema Flash	en dräkt	drakt	dress, costume, outfit	puku			
&w49	Bildetema HTML5	Bildetema Flash	en baddräkt	badedrakt	swimsuit	uimapuku			
&w592	Bildetema HTML5	Bildetema Flash	en kappa	kåpe	cape	koopa			
&w623	Bildetema HTML5	Bildetema Flash	en kjol	skjørt	skirt	hamet, hame			
&w636	Bildetema HTML5	Bildetema Flash	en klänning	kjole	dress	kläninki			
&w650	Bildetema HTML5	Bildetema Flash	en kofta	strikkejakke	cardigan	villajakki			
&w758	Bildetema HTML5	Bildetema Flash	ett linne	undertrøye	vest	aluspaita			
&w78	Bildetema HTML5	Bildetema Flash	en behå, BH	brystholder (BH)	bra	rintaliivi			
&w90	Bildetema HTML5	Bildetema Flash	en bikini	bikini	bikini	bikini			
									
&s8_2	Bildetema HTML5	Bildetema Flash	herr	herre	man	mies			
									
&w1037	Bildetema HTML5	Bildetema Flash	en pullover	pullover	pullover	pulloveri			
&w1078	Bildetema HTML5	Bildetema Flash	en rock	frakk	coat	frakki			
&w1135	Bildetema HTML5	Bildetema Flash	shorts(en)	kortbukse	shorts	lyhykäiset housut, shortsit			
&w1171	Bildetema HTML5	Bildetema Flash	en skjorta	skjorte	shirt	paita			
&w119	Bildetema HTML5	Bildetema Flash	ett blåställ	overall	overalls	overalsit			
&w1204	Bildetema HTML5	Bildetema Flash	ett skärp	(omslags)belte	belt	vyö			
&w1214	Bildetema HTML5	Bildetema Flash	en slips	slips	tie	slipsi			
&w1592	Bildetema HTML5	Bildetema Flash	en väst	vest	waistcoat	västi			
&w1620	Bildetema HTML5	Bildetema Flash	en ärm	erme	sleeve	hija			
&w175	Bildetema HTML5	Bildetema Flash	en byxa	bukse	trousers	housut			
&w183	Bildetema HTML5	Bildetema Flash	ett bälte	belte	belt	vyö			
&w301	Bildetema HTML5	Bildetema Flash	en ficka	lomme	pocket	plakkari			
&w325-a	Bildetema HTML5	Bildetema Flash	en fluga	tversoversløyfe	bow tie	rusetti			
&w333	Bildetema HTML5	Bildetema Flash	en fläck	flekk	stain, spot	pilkku			
&w436	Bildetema HTML5	Bildetema Flash	en gylf	gylf	fly		MK: sepalus, pellireikä		
&w482	Bildetema HTML5	Bildetema Flash	en hatt	hatt	hat	hattu			
&w533	Bildetema HTML5	Bildetema Flash	ett hängsle	sele	brace	sella			
&w561	Bildetema HTML5	Bildetema Flash	en jacka	jakke	jacket	jakki			
&w563	Bildetema HTML5	Bildetema Flash	jeans(en)	dongeribukse	jeans	dongerihousut			
&w583	Bildetema HTML5	Bildetema Flash	kalsonger(na)	herretruse	underpants	alushousut			
&w610	Bildetema HTML5	Bildetema Flash	en kavaj	dressjakke	jacket	puvunjakki	?		
&w642	Bildetema HTML5	Bildetema Flash	en knut	knute	knot	solmi			
&w671	Bildetema HTML5	Bildetema Flash	en kostym	dress	suit	puku			
&w677	Bildetema HTML5	Bildetema Flash	en krage	krage	collar	kaulus			
&w945	Bildetema HTML5	Bildetema Flash	en näsduk	lommetørkle	handkerchief	nästuuki, nenäliina			
									
&s8_3	Bildetema HTML5	Bildetema Flash	barn	barn	child	lapsi			
									
&w1042	Bildetema HTML5	Bildetema Flash	en pyjamas	pyjamas	pyjamas	pyjama	pyjamas?		
&w121	Bildetema HTML5	Bildetema Flash	en blöja	bleie	nappy, diaper	rievu			
&w1522	Bildetema HTML5	Bildetema Flash	en vante	vott	mitten	vantut			
&w16	Bildetema HTML5	Bildetema Flash	en anorak	anorakk	anorak	anorakki			
&w236	Bildetema HTML5	Bildetema Flash	en docka	dukke	doll	äppö			
&w460	Bildetema HTML5	Bildetema Flash	en halsduk	skjerf	scarf	kaulahuivi			
&w475	Bildetema HTML5	Bildetema Flash	en handske	hanske	glove	hanska			
&w48	Bildetema HTML5	Bildetema Flash	en badbyxa	badebukse	bathing-trunks	uimahousut			
&w595	Bildetema HTML5	Bildetema Flash	en kapuschong	hette	hood, cowl	hetta			
&w613	Bildetema HTML5	Bildetema Flash	en keps	skyggelue	cap	liuskulakki			
&w914	Bildetema HTML5	Bildetema Flash	en mössa	lue	cap	lakki			
&w917	Bildetema HTML5	Bildetema Flash	en napp	smokk	dummy, pacifier	smokki			
&w920	Bildetema HTML5	Bildetema Flash	ett nattlinne	nattkjole	nightdress	vyökleninki, yökleninki			
&w967	Bildetema HTML5	Bildetema Flash	en overall	overall	overall	overalsit			
&w980	Bildetema HTML5	Bildetema Flash	ett paraply	paraply	umbrella	satheensuoja	?		
									
&s8_4	Bildetema HTML5	Bildetema Flash	skor	sko	shoes	kengät			
									
&w1005	Bildetema HTML5	Bildetema Flash	en pjäxa	støvlett	boot	nakkasaapphaat			
&w1010	Bildetema HTML5	Bildetema Flash	en plånbok	lommebok	wallet	rahapörsi			
&w1019	Bildetema HTML5	Bildetema Flash	en portfölj	stresskoffert	briefcase	bisneskoffertti, työkoffertti	?		
&w1020	Bildetema HTML5	Bildetema Flash	en portmonnä	portemoné	purse	pörsi			
&w1091	Bildetema HTML5	Bildetema Flash	en ryggsäck	ryggsekk	backpack	ranseli, sölkäsäkki			
&w1117	Bildetema HTML5	Bildetema Flash	en sandal	sandal	sandal	sandaali			
&w1172	Bildetema HTML5	Bildetema Flash	en sko	sko	shoe	kenkä			
&w1229	Bildetema HTML5	Bildetema Flash	en socka	sokk	sock	sukka, lesta			
&w1328	Bildetema HTML5	Bildetema Flash	en stövel	(gummi)støvel	wellington (boot)	(kumi)saapas			
&w1425	Bildetema HTML5	Bildetema Flash	en toffel	tøffel	slipper	tossu			
&w1457	Bildetema HTML5	Bildetema Flash	en träsko	tresko	clog	puukenkä			
&w1591	Bildetema HTML5	Bildetema Flash	en väska	koffert	suitcase	koffertti			
&w243	Bildetema HTML5	Bildetema Flash	en dragkedja	glidelås	zipper	gliideloosi	?		
&w382	Bildetema HTML5	Bildetema Flash	en galosch	kalosje	galosh	kalossi			
&w53	Bildetema HTML5	Bildetema Flash	en påse	veske	bag	väsky, laukku			
&w624	Bildetema HTML5	Bildetema Flash	en klack	hæl	heel	kanta			
									
&s8_5	Bildetema HTML5	Bildetema Flash	smycken	smykker	jewellery	koristukset			
									
&w1073	Bildetema HTML5	Bildetema Flash	en ring	ring	ring	sormus			
&w1234	Bildetema HTML5	Bildetema Flash	solglasögon(en)	solbrille	sunglasses	aurinkoprillat			
&w149	Bildetema HTML5	Bildetema Flash	en brosch	brosje	brooch	rintaneula			
&w1630	Bildetema HTML5	Bildetema Flash	ett örhänge	ørepynt	earring	korvapyntti			
&w24	Bildetema HTML5	Bildetema Flash	ett armband	armbånd	bracelet	käsipyntti			
&w459	Bildetema HTML5	Bildetema Flash	ett halsband	halskjede	necklace	kaulapyntti			
